Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Cameroon	3908	27	8	43	10	171	29	10	32	116	70	166	0	3	4	105	15	19	18	13	29	4	1271	178	71	167	7	33	0	21	7	9	80	18	134	52	15	126	64	5	91	0		17		28	427	0	0	7		157	9	7	11	0
Canada	13181	74	44	349	32	2233	230	168	24	45	1089	290		94	61	376	130	52	67	67	77	81	182	467	507	237	24	108	44	24	142	66	361	30	1221	325	57	257	53	182	334	8	26	152	15	146	1085		9	142	55	265	881	30	131	29
Cape Verde	1673	0	0	0	0	0	0	25	0	0	15		0	0	0	0	0	0	0	0	0	0	6	1348	0	0	0		0	0	0	0	8	0	5	0	0	0	0	0	7	0	248	0	0		4	0	0		0		0	0	0	0
Cayman Islands	44		0	0	0	0		3	0	0	27	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0		0	5	0	0		0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0
Central African Republic	213	0	0	12	0	5	6	0	0			21	0	0	3	7	0	5	0	0	0	9	26	20	15	0	0		0	0	0			0	12	5	0	19	0			0			0	0	12	0	0	14	0	6	3	0	0	0
Chad	111	0	0	5	0	4	3		0			5	0	0	0	6	7	0				3	4	6		0	0		0		0	0	9	0	18		0	3	0			0	0		0	3	11	0	0	4	0	3		0	0	0
Chile	1736	11		22	4	237	34	33	5	15	382	40	0	17		23	14	16	4	7	5		44	33	16	20	4	8		6	21	4	118	6	159	43	0	12	8	19	29	10		6	0	9	111	0	0	74		54	21	4	17	
China, People's Republic	71798	312	64	511	125	20134	499	618	201	207	1595	1208	75	560	101	2213	492	229	275	259	253	80	1483	2414	846	535	140	453	48	128	649	122	2084	106	20218	988	47	879	227	572	1652	58	114	227	42	479	3281		42	231	42	1348	1842	64	389	
Colombia	21131	82	19	112	25	1107	125	470	27	44	7081	723	0	11	13	363	104	18	52	52	98	4	299	570	94	88	25	63	8	38	96	44	2428	32	2834	487	7	105	66	36	345	180	186	248	6	88	1513	6	4	106	6	367	147	16	59	4
Comoros		0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Congo, Democratic Republic	2792	14	3	47	3	129	59	46		4	48	122	0		38	336	54	64	11	102	5	40	103	72	91	18		34		10	10	14	24	5	137	194	21	75	6	13	51	0			8	35	452		0	40	9	94	106	0	34	
