Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Luxembourg,28,0,0,0,0,5,0,,0,0,4,0,,0,0,0,0,0,,0,0,0,4,,0,0,0,0,0,0,0,0,,0,4,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,0,0,0
Macau,189,0,0,3,0,86,,,0,0,6,0,,8,0,3,,0,0,0,0,0,0,8,4,,0,0,0,0,3,0,,,31,,0,,0,3,,,0,0,0,,13,0,3,,0,0,4,0,0,0
Macedonia,1317,4,30,13,,34,,57,,3,59,5,,0,,164,58,4,,6,,,0,11,97,5,0,7,0,,15,,297,0,273,5,,39,,3,12,,,3,,4,21,0,0,0,,14,5,0,48,0
Madagascar,72,,0,,0,6,0,0,0,0,6,,,0,0,4,0,0,0,4,0,0,6,0,,3,,0,0,0,0,,3,0,14,0,0,5,0,0,3,,0,0,0,0,4,0,0,0,0,5,0,0,0,0
Malawi,131,,0,,0,17,,,0,,4,6,,0,,3,18,,3,3,0,0,11,0,6,,0,4,0,,0,,3,0,4,3,0,3,0,0,,,0,,0,,15,0,0,,0,,,0,3,0
Malaysia,2281,12,,36,18,464,15,22,,6,64,88,,25,0,65,17,5,11,10,9,3,25,48,32,16,3,17,0,4,21,4,79,3,601,34,7,33,33,16,49,,3,4,,23,183,0,,7,6,85,51,6,10,0
Maldives,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,408,3,,8,,10,23,,,4,,34,,0,0,7,8,4,0,3,0,0,36,,5,5,,0,0,0,,,12,0,121,10,,12,0,0,49,,7,0,0,3,13,0,0,,0,8,3,0,6,0
Malta,70,0,0,5,0,5,0,0,0,0,4,,,0,0,,0,0,,0,0,0,,3,3,,0,0,0,0,0,,0,0,18,4,0,,0,,,,0,0,0,,,0,5,,0,4,,0,,0
Marshall Islands,53,,0,,0,3,0,,0,0,,,,0,0,0,0,,0,0,0,0,0,,0,,0,4,0,,0,0,0,0,0,,0,,0,0,0,,0,,0,0,4,0,,22,0,,,0,0,0
Martinique,30,0,0,0,0,,0,,0,,10,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,0
Mauritania,720,3,0,6,0,,17,0,0,3,5,14,,0,0,21,7,,0,34,,0,13,10,10,3,,,0,0,3,0,7,0,233,4,,191,3,0,36,,3,,0,57,4,0,0,0,0,16,8,0,0,0
Mauritius,108,,0,5,0,11,,0,0,,5,6,,3,0,,,,0,,0,0,4,6,,0,,0,0,0,0,0,7,0,19,,0,,,,3,,0,0,0,3,6,0,0,,0,11,,0,0,0
Mexico,173753,535,102,10030,981,66744,3245,416,252,51,5342,3708,,79,842,11735,1204,882,1187,361,188,15,539,254,1354,746,215,489,13,1041,3759,64,1216,1965,3127,2865,9,608,1182,1636,904,,56,643,52,1011,35830,,137,1188,,1150,2305,25,1400,62
Micronesia,13,0,0,,0,,0,0,,0,0,0,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,,0,0,0
Moldova,3036,8,3,8,3,643,24,15,,,54,115,,4,4,52,7,3,4,,,3,21,228,13,191,4,18,0,10,,,56,0,176,220,,17,13,225,52,,,32,,39,30,0,0,,,32,682,0,10,0
Monaco,4,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
