,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Bangladesh,4746,19,,51,4,335,20,50,8,8,199,136,,,3,83,10,6,18,3,3,,109,79,295,44,,24,0,6,23,4,329,,2060,17,5,48,20,26,103,,0,4,0,11,338,0,0,4,,183,19,,6,0,23
Barbados,718,,0,6,,31,,11,3,4,63,21,,0,0,7,0,,0,0,3,0,18,60,,6,,,0,0,0,,52,,327,6,,5,0,,22,,0,,0,3,26,0,,0,0,12,,0,,0,8
Belarus,1401,,3,8,,238,37,4,3,,43,33,,,5,110,4,4,0,4,0,,20,78,21,50,0,25,,3,6,4,59,3,306,9,0,50,3,12,63,,,13,0,3,22,0,0,8,3,23,77,,24,,9
Belgium,248,0,0,,0,57,4,,,3,23,10,,3,,7,,,,,5,,5,8,5,0,0,,,0,4,0,14,0,26,,0,5,0,4,5,,0,0,0,,21,0,0,,0,12,3,0,,0,1
Belize,799,,,9,,352,4,3,0,,54,12,,3,0,87,,0,0,0,4,,6,4,,3,3,,,0,14,0,16,0,112,4,0,7,,,8,,0,,,,54,0,3,0,0,6,5,0,,0,6
Benin,61,,0,,0,6,0,0,0,,0,3,,,0,6,,,0,,,0,8,,,,0,,0,,0,,3,0,4,,,3,0,0,0,,0,0,0,0,,0,0,0,,,,0,0,0,1
Bermuda,42,0,0,0,0,3,,0,,0,,5,,0,0,,,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,6,0,,,0,,0,0,,,,,0,,0,0,,0,0,0,,,0,0,1
Bhutan,10,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,1311,0,0,11,5,193,15,7,0,11,137,8,,3,,19,5,,,6,,,96,22,,6,,5,0,0,12,3,42,3,84,11,,9,,3,10,,22,3,0,4,94,0,4,15,,390,11,5,6,3,13
Bosnia-Herzegovina,8175,18,0,291,,321,118,48,,3,428,382,,,156,1036,122,362,21,306,21,28,34,152,346,215,3,694,0,55,107,86,97,4,608,103,100,237,7,70,173,,4,6,42,78,356,0,0,162,98,147,227,0,158,0,140
